SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Karikari Peninsula,Kerikeri Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Karikari Peninsula,-34.99527816,173.37873836,Kerikeri Central,-35.22507309,173.95096304,57.984562178021704,Far North,Far North,Northland,Northland,WORK
Kaitaia East,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia East,-35.10383477,173.26414302,Kerikeri Central,-35.22507309,173.95096304,63.872130406967315,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Kerikeri Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Kaitaia West,-35.12178170000001,173.26717397,Kerikeri Central,-35.22507309,173.95096304,63.2032188541463,Far North,Far North,Northland,Northland,WORK
Rangitihi,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Rangitihi,-35.12785001,173.31122240000005,Kerikeri Central,-35.22507309,173.95096304,59.14153308527458,Far North,Far North,Northland,Northland,WORK
Oruru-Parapara,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Oruru-Parapara,-35.03331749,173.46127559,Kerikeri Central,-35.22507309,173.95096304,49.37418557226578,Far North,Far North,Northland,Northland,WORK
Taumarumaru,Kerikeri Central,-999,15,6,-999,-999,-999,-999,-999,-999,-999,24,Taumarumaru,-34.99672682,173.50774402,Kerikeri Central,-35.22507309,173.95096304,47.64532231290496,Far North,Far North,Northland,Northland,WORK
Herekino-Takahue,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Herekino-Takahue,-35.18964254,173.37240745,Kerikeri Central,-35.22507309,173.95096304,52.71152554406455,Far North,Far North,Northland,Northland,WORK
Peria,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Peria,-35.12407747,173.44813792,Kerikeri Central,-35.22507309,173.95096304,47.06166862502933,Far North,Far North,Northland,Northland,WORK
Taemaro-Oruaiti,Kerikeri Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Taemaro-Oruaiti,-35.02535123,173.57890377,Kerikeri Central,-35.22507309,173.95096304,40.47413355049158,Far North,Far North,Northland,Northland,WORK
Whakapaku,Kerikeri Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Whakapaku,-35.04987698,173.66299855,Kerikeri Central,-35.22507309,173.95096304,32.63697763850013,Far North,Far North,Northland,Northland,WORK
Omahuta Forest-Horeke,Kerikeri Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Omahuta Forest-Horeke,-35.28834375,173.61780248,Kerikeri Central,-35.22507309,173.95096304,31.05792396360032,Far North,Far North,Northland,Northland,WORK
Waima Forest,Kerikeri Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Waima Forest,-35.48716638,173.62952632,Kerikeri Central,-35.22507309,173.95096304,41.21981535565957,Far North,Far North,Northland,Northland,WORK
Ngapuhi,Kerikeri Central,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,33,Ngapuhi,-35.4228326,173.76534835,Kerikeri Central,-35.22507309,173.95096304,27.697029516171824,Far North,Far North,Northland,Northland,WORK
Matawaia-Taumarere,Kerikeri Central,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Matawaia-Taumarere,-35.49406405,173.95266307,Kerikeri Central,-35.22507309,173.95096304,29.910827359465145,Far North,Far North,Northland,Northland,WORK
Rangaunu Harbour,Rangitihi,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Rangaunu Harbour,-34.91627744,173.13744282,Rangitihi,-35.12785001,173.31122240000005,28.352749145416972,Far North,Far North,Northland,Northland,WORK
Rangaunu Harbour,Oruru-Parapara,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rangaunu Harbour,-34.91627744,173.13744282,Oruru-Parapara,-35.03331749,173.46127559,32.24822504808201,Far North,Far North,Northland,Northland,WORK
Kaitaia East,Waipapa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia East,-35.10383477,173.26414302,Waipapa,-35.2099338,173.91841396,60.63874783210577,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Waipapa,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Kaitaia West,-35.12178170000001,173.26717397,Waipapa,-35.2099338,173.91841396,60.003981578216354,Far North,Far North,Northland,Northland,WORK
Taumarumaru,Waipapa,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Taumarumaru,-34.99672682,173.50774402,Waipapa,-35.2099338,173.91841396,44.246143705126116,Far North,Far North,Northland,Northland,WORK
Hokianga North,Waipapa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hokianga North,-35.36850897,173.33840098,Waipapa,-35.2099338,173.91841396,55.517825090289776,Far North,Far North,Northland,Northland,WORK
Ngapuhi,Waipapa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngapuhi,-35.4228326,173.76534835,Waipapa,-35.2099338,173.91841396,27.44627482286848,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia West,-35.12178170000001,173.26717397,Kawakawa,-35.37897674,174.07575504,78.79670320520236,Far North,Far North,Northland,Northland,WORK
Kaeo,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaeo,-35.15410315,173.74331968,Kawakawa,-35.37897674,174.07575504,39.19355836192931,Far North,Far North,Northland,Northland,WORK
Lake Manuwai-Kapiro,Kawakawa,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kawakawa,-35.37897674,174.07575504,29.003868422538236,Far North,Far North,Northland,Northland,WORK
Rangitane-Purerua,Kawakawa,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Rangitane-Purerua,-35.13418331,173.9391431,Kawakawa,-35.37897674,174.07575504,29.912893116248668,Far North,Far North,Northland,Northland,WORK
Ngapuhi,Kawakawa,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Ngapuhi,-35.4228326,173.76534835,Kawakawa,-35.37897674,174.07575504,28.553836771251653,Far North,Far North,Northland,Northland,WORK
Kaikohe,Kawakawa,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,30,Kaikohe,-35.40792422,173.79767516,Kawakawa,-35.37897674,174.07575504,25.411348712336945,Far North,Far North,Northland,Northland,WORK
Whangaruru,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Whangaruru,-35.48991999,174.33501130000005,Kawakawa,-35.37897674,174.07575504,26.530947892469268,Whangarei,Far North,Northland,Northland,WORK
