SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Manuherikia-Ida Valleys,Maniototo,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Manuherikia-Ida Valleys,-45.0524266,169.7255609,Maniototo,-45.25282329,170.02086908,32.137020154924734,Central Otago,Central Otago,EDUCATION
Wairoa,Gisborne Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Wairoa,-39.03908469,177.41898076,Gisborne Central,-38.66778237,178.02299313,66.63503594313205,Wairoa,Gisborne,EDUCATION
Darfield,Christchurch Central-South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Darfield,-43.49796117,172.09991696,Christchurch Central-South,-43.53815861,172.64240289,43.97040507124637,Selwyn,Christchurch,EDUCATION
Kaimai,Hillcrest West (Hamilton City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaimai,-37.88590858,176.02098429,Hillcrest West (Hamilton City),-37.79546663,175.31326581,62.955019548902044,Western Bay of Plenty,Hamilton,EDUCATION
Hamilton East Village,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hamilton East Village,-37.79028168,175.29324653,Auckland-University,-36.85143057,174.76906469,114.22269204479169,Hamilton,Waitakere,EDUCATION
Kopuaranga,Turitea,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,18,Kopuaranga,-40.79823344,175.63791121,Turitea,-40.39053678,175.60862529,45.40118686638255,Masterton,Palmerston North,EDUCATION
Queenwood (Horowhenua District),Turitea,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Queenwood (Horowhenua District),-40.62073993,175.29658523,Turitea,-40.39053678,175.60862529,36.758990862018024,Horowhenua,Palmerston North,EDUCATION
Ngapara,Morven-Glenavy-Ikawai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Ngapara,-45.06213909,170.69741781,Morven-Glenavy-Ikawai,-44.85372568,171.00103288,33.28326797985125,Waitaki,Waimate,EDUCATION
Okahukura Peninsula,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Okahukura Peninsula,-36.31614337,174.47831639,Auckland-University,-36.85143057,174.76906469,64.93612999409558,Rodney,Waitakere,EDUCATION
Amuri,Merivale,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Amuri,-42.64453066,172.95870738,Merivale,-43.51635206,172.61911331,100.78892437609659,Hurunui,Christchurch,EDUCATION
Whareama,Solway North,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,Whareama,-40.91901694,175.98994746,Solway North,-40.9574562,175.63029837,30.510821510644732,Masterton,Masterton,EDUCATION
Maraekakaho,McLean Park,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,15,Maraekakaho,-39.62634976,176.29699518,McLean Park,-39.5083024,176.9160949,54.666881904785726,Hastings,Hastings,EDUCATION
