SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Cheltenham,Auckland Airport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Cheltenham,-36.82539766,174.80659852,Auckland Airport,-36.9891029,174.77400859,18.432378128448256,Waitakere,Manukau,WORK
Hillcrest East (Hamilton City),Morrinsville West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Hillcrest East (Hamilton City),-37.79610513,175.32167122,Morrinsville West,-37.65791668,175.51913057,23.18818967204393,Hamilton,Matamata-Piako,WORK
Okahukura Peninsula,North Harbour,-999,9,9,-999,-999,-999,-999,-999,-999,-999,18,Okahukura Peninsula,-36.31614337,174.47831639,North Harbour,-36.74630474,174.71502975,52.299100837732404,Rodney,Waitakere,WORK
Mount Eden North,Henderson Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mount Eden North,-36.8748348,174.76097949,Henderson Central,-36.88968581,174.62928426,11.829009805594524,Waitakere,Waitakere,WORK
Papakura West,Otahuhu Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura West,-37.05653671,174.93416803,Otahuhu Central,-36.94175556,174.83604598,15.453983586912582,Franklin,Waitakere,WORK
Kahutara,Tauherenikau,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Kahutara,-41.33273164,175.08046255,Tauherenikau,-41.06390044,175.36907465,38.42730975305508,South Wairarapa,South Wairarapa,WORK
Belfast West,Bromley North,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Belfast West,-43.44568253,172.62309123,Bromley North,-43.53482145,172.70629272,11.97054141501693,Christchurch,Christchurch,WORK
Mount Roskill South,Mount Wellington Industrial,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21,Mount Roskill South,-36.92449342,174.73008619,Mount Wellington Industrial,-36.92046064,174.85162182,10.813172194908905,Waitakere,Waitakere,WORK
Shelly Park,Takapuna West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Shelly Park,-36.90830816,174.94645122,Takapuna West,-36.78910918,174.76117008,21.153700036568534,Manukau,Waitakere,WORK
Burnside Park,Woolston South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Burnside Park,-43.50169208,172.56281526,Woolston South,-43.56123026,172.68421207,11.81544579370093,Christchurch,Christchurch,WORK
Greenhithe West,Ponsonby East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Greenhithe West,-36.77353411,174.67354745,Ponsonby East,-36.85137951,174.74159318,10.565098981748756,Waitakere,Waitakere,WORK
Mount Wellington Ferndale,North Harbour,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Mount Wellington Ferndale,-36.90212113,174.83177929,North Harbour,-36.74630474,174.71502975,20.203434036573533,Waitakere,Waitakere,WORK
Amuri,Omihi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Amuri,-42.64453066,172.95870738,Omihi,-42.98563474,172.94683521,37.94140301339182,Hurunui,Hurunui,WORK
Remuera Waitaramoa,Wiri West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Remuera Waitaramoa,-36.87147136,174.79423523,Wiri West,-37.00828264,174.8624367,16.37580354455888,Waitakere,Franklin,WORK
Wharewaka,Wairakei-Broadlands,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Wharewaka,-38.73418064,176.07918334,Wairakei-Broadlands,-38.68443198,176.26217734,16.814155563489493,Taupo,Taupo,WORK
Glen Eden West,Penrose,-999,27,15,-999,-999,-999,-999,-999,-999,-999,51,Glen Eden West,-36.91301994,174.62881821,Penrose,-36.91999811,174.82258914,17.24401617805346,Waitakere,Waitakere,WORK
Saint Johns West,Wiri West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Saint Johns West,-36.88206283,174.83365741,Wiri West,-37.00828264,174.8624367,14.26612849454715,Waitakere,Franklin,WORK
Green Bay North,Middlemore,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Green Bay North,-36.92628317,174.68526542,Middlemore,-36.96044494,174.84306701,14.529231746817045,Waitakere,Manukau,WORK
Queenspark,Hornby Central,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,30,Queenspark,-43.47537667,172.69715881,Hornby Central,-43.53921804,172.53566342,14.833276119256618,Christchurch,Christchurch,WORK
Manurewa South,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Manurewa South,-37.03138834,174.90040876,Queen Street,-36.84774104,174.76524972,23.69168821925775,Franklin,Waitakere,WORK
Ngongotaha South,Waiohewa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngongotaha South,-38.09960701,176.21341758,Waiohewa,-38.1090756,176.38116019999995,14.714853664631109,Rotorua,Rotorua,WORK
Browns Bay South West,Henderson Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Browns Bay South West,-36.72178932,174.72994649,Henderson Central,-36.88968581,174.62928426,20.70888827517799,Waitakere,Waitakere,WORK
