id,SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
W8576,Parakai,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Parakai,-36.65763462,174.43599289,East Tamaki,-36.93823242,174.88712871,50.86296552615028,Rodney,Manukau,Auckland,Auckland,WORK
W8577,Helensville Rural,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Helensville Rural,-36.64952348,174.4986995,East Tamaki,-36.93823242,174.88712871,47.18986302969854,Rodney,Manukau,Auckland,Auckland,WORK
W8578,Helensville,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Helensville,-36.67496915,174.45425272,East Tamaki,-36.93823242,174.88712871,48.39594618013547,Rodney,Manukau,Auckland,Auckland,WORK
W9049,Onewhero,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Onewhero,-37.36416985,174.87549359,East Tamaki,-36.93823242,174.88712871,47.373305582620866,Franklin,Manukau,Waikato,Auckland,WORK
W9053,Pukekawa,East Tamaki,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Pukekawa,-37.35591115,175.00526866,East Tamaki,-36.93823242,174.88712871,47.60948340585485,Franklin,Manukau,Waikato,Auckland,WORK
W9054,Maramarua,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Maramarua,-37.27897408,175.21484861,East Tamaki,-36.93823242,174.88712871,47.75047387632365,Waikato,Manukau,Waikato,Auckland,WORK
W9055,Rangiriri,East Tamaki,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Rangiriri,-37.38966720000001,175.09012212,East Tamaki,-36.93823242,174.88712871,53.32277436143954,Waikato,Manukau,Waikato,Auckland,WORK
W9056,Te Kauwhata,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Kauwhata,-37.4025191,175.14802087,East Tamaki,-36.93823242,174.88712871,56.56529483928135,Waikato,Manukau,Waikato,Auckland,WORK
W9057,Huntly East,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Huntly East,-37.55408564,175.16553246,East Tamaki,-36.93823242,174.88712871,72.77874304112977,Waikato,Manukau,Waikato,Auckland,WORK
W9058,South Head,Queen Street,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,South Head,-36.59353204,174.31227374,Queen Street,-36.84774104,174.76524972,49.28507183044582,Rodney,Waitakere,Auckland,Auckland,WORK
W9060,Warkworth East,Queen Street,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Warkworth East,-36.40528692,174.66791942,Queen Street,-36.84774104,174.76524972,49.959447410937535,Rodney,Waitakere,Auckland,Auckland,WORK
W9062,Snells Beach,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Snells Beach,-36.42024184,174.72518871,Queen Street,-36.84774104,174.76524972,47.669955662691486,Rodney,Waitakere,Auckland,Auckland,WORK
W9536,Pokeno,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pokeno,-37.24416888,175.02021530000005,Queen Street,-36.84774104,174.76524972,49.54946144409996,Franklin,Waitakere,Waikato,Auckland,WORK
W9625,Warkworth West,Hobson Ridge North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Warkworth West,-36.38893228,174.65160073,Hobson Ridge North,-36.84707104,174.76276914,51.899865730307205,Rodney,Waitakere,Auckland,Auckland,WORK
W9627,Warkworth East,Hobson Ridge North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Warkworth East,-36.40528692,174.66791942,Hobson Ridge North,-36.84707104,174.76276914,49.8480250618812,Rodney,Waitakere,Auckland,Auckland,WORK
W10085,Puhoi Valley,Onehunga-Te Papapa Industrial,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,Puhoi Valley,-36.46850912,174.62475233,Onehunga-Te Papapa Industrial,-36.92606886,174.79489131,53.09142006383067,Rodney,Waitakere,Auckland,Auckland,WORK
W10492,Puhoi Valley,Grafton,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Puhoi Valley,-36.46850912,174.62475233,Grafton,-36.86013178,174.76828549,45.38935322669016,Rodney,Waitakere,Auckland,Auckland,WORK
W11623,Pokeno,Victoria Park ,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Pokeno,-37.24416888,175.02021530000005,Victoria Park,-36.84857807,174.75659124,49.82282197378072,Franklin,Waitakere,Waikato,Auckland,WORK
W11624,Puhoi Valley,Mount Wellington Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Puhoi Valley,-36.46850912,174.62475233,Mount Wellington Industrial,-36.92046064,174.85162182,54.172758977350504,Rodney,Waitakere,Auckland,Auckland,WORK
W11625,Te Kuru,Mount Wellington Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Kuru,-36.60344402,174.48396116,Mount Wellington Industrial,-36.92046064,174.85162182,48.1173194367861,Rodney,Waitakere,Auckland,Auckland,WORK
W12106,Pukekawa,Mount Wellington Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pukekawa,-37.35591115,175.00526866,Mount Wellington Industrial,-36.92046064,174.85162182,50.29888567602809,Franklin,Waitakere,Waikato,Auckland,WORK
W12107,Maramarua,Mount Wellington Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maramarua,-37.27897408,175.21484861,Mount Wellington Industrial,-36.92046064,174.85162182,51.25350246129144,Waikato,Waitakere,Waikato,Auckland,WORK
W12109,Puhoi Valley,Mount Eden North East,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Puhoi Valley,-36.46850912,174.62475233,Mount Eden North East,-36.86913097,174.76555025,46.28325576938249,Rodney,Waitakere,Auckland,Auckland,WORK
W13851,Orewa Central,Wiri West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Orewa Central,-36.58726477,174.69445280000005,Wiri West,-37.00828264,174.8624367,49.14637267646678,Rodney,Franklin,Auckland,Auckland,WORK
