SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Riccarton West,Nelson Central-Trafalgar,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Riccarton West,-43.53414393,172.59138797,Nelson Central-Trafalgar,-41.27273863,173.28210878,257.7702142602066,Christchurch,Nelson,Canterbury,Nelson,EDUCATION
Woodbourne,Merivale,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Woodbourne,-41.5308031,173.90363794,Merivale,-43.51635206,172.61911331,244.58588522909253,Marlborough,Christchurch,Marlborough,Canterbury,EDUCATION
Kaikoura Ranges,Merivale,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Kaikoura Ranges,-42.19710797,173.64408497,Merivale,-43.51635206,172.61911331,168.81331358532404,Kaikoura,Christchurch,Canterbury,Canterbury,EDUCATION
Amuri,Merivale,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Amuri,-42.64453066,172.95870738,Merivale,-43.51635206,172.61911331,100.78892437609659,Hurunui,Christchurch,Canterbury,Canterbury,EDUCATION
Amuri,Mona Vale,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Amuri,-42.64453066,172.95870738,Mona Vale,-43.52638334,172.60669389,102.13927815509096,Hurunui,Christchurch,Canterbury,Canterbury,EDUCATION
Amuri,Deans Bush,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Amuri,-42.64453066,172.95870738,Deans Bush,-43.52473249,172.59447189,102.24586973323143,Hurunui,Christchurch,Canterbury,Canterbury,EDUCATION
Ealing-Lowcliffe,Christchurch Central-South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ealing-Lowcliffe,-44.03656373,171.49741748,Christchurch Central-South,-43.53815861,172.64240289,107.32555031441113,Ashburton,Christchurch,Canterbury,Canterbury,EDUCATION
North East Valley Knox,Hagley Park,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,24,North East Valley Knox,-45.85238619,170.52237253,Hagley Park,-43.53053792,172.61981252,306.80483091680685,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Gardens (Dunedin City),Hagley Park,-999,-999,-999,-999,-999,27,-999,-999,-999,-999,30,Gardens (Dunedin City),-45.85877849,170.51916854,Hagley Park,-43.53053792,172.61981252,307.53471216146283,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Campus West,Hagley Park,-999,-999,-999,-999,-999,24,-999,-999,-999,-999,24,Campus West,-45.86290217,170.50786264,Hagley Park,-43.53053792,172.61981252,308.4000174635847,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Royal Terrace,Hagley Park,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Royal Terrace,-45.86668004,170.50466615,Hagley Park,-43.53053792,172.61981252,308.8869183522036,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Campus North,Hagley Park,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,30,Campus North,-45.86491215,170.51950247,Hagley Park,-43.53053792,172.61981252,308.08999776914015,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Campus South,Hagley Park,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,15,Campus South,-45.86793792,170.51211679,Hagley Park,-43.53053792,172.61981252,308.68555238380503,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Dunedin Central,Hagley Park,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Dunedin Central,-45.87712471,170.50291221,Hagley Park,-43.53053792,172.61981252,309.93065991357275,Dunedin,Christchurch,Otago,Canterbury,EDUCATION
Riversdale-Piano Flat,Invercargill Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Riversdale-Piano Flat,-45.48645863,169.03162811,Invercargill Central,-46.41489239,168.32850731,116.6727675708931,Southland,Invercargill,Southland,Southland,EDUCATION
Mossburn,Wyndham-Catlins,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,15,Mossburn,-45.5465414,168.37465706,Wyndham-Catlins,-46.47283276,168.99193119999995,113.49501944592899,Southland,Southland,Southland,Southland,EDUCATION
