id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W33352,Otairi,Otairi,WORK_AT_HOME,219,EDUCATION,Otairi,-39.8895865,175.52547495,Otairi,-39.8895865,175.52547495,0.0,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui,1
W33357,Taihape,Taihape,WORK_AT_HOME,90,EDUCATION,Taihape,-39.67806733,175.79677339,Taihape,-39.67806733,175.79677339,0.0,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui,1
W33359,Ngamatea,Ngamatea,WORK_AT_HOME,9,EDUCATION,Ngamatea,-39.35192361,176.19628395,Ngamatea,-39.35192361,176.19628395,0.0,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui,1
W33360,Turakina,Turakina,WORK_AT_HOME,165,EDUCATION,Turakina,-40.0113956,175.25773896,Turakina,-40.0113956,175.25773896,0.0,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui,1
W33662,Kiwitea,Kiwitea,WORK_AT_HOME,324,EDUCATION,Kiwitea,-40.00817686,175.69603871,Kiwitea,-40.00817686,175.69603871,0.0,Manawatu,Manawatu,Manawatu-Wanganui,Manawatu-Wanganui,1
W33687,Pohangina-Apiti,Pohangina-Apiti,WORK_AT_HOME,216,EDUCATION,Pohangina-Apiti,-40.07201708,175.91250803,Pohangina-Apiti,-40.07201708,175.91250803,0.0,Manawatu,Manawatu,Manawatu-Wanganui,Manawatu-Wanganui,1
W35541,Forest Lakes (Kapiti Coast District),Forest Lakes (Kapiti Coast District),WORK_AT_HOME,87,EDUCATION,Forest Lakes (Kapiti Coast District),-40.74369534,175.16963257,Forest Lakes (Kapiti Coast District),-40.74369534,175.16963257,0.0,Kapiti Coast,Kapiti Coast,Wellington,Wellington,45
W34609,Norsewood,Norsewood,WORK_AT_HOME,264,EDUCATION,Norsewood,-40.11138214,176.15105007,Norsewood,-40.11138214,176.15105007,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,1
W34640,Nireaha-Eketahuna,Nireaha-Eketahuna,WORK_AT_HOME,360,EDUCATION,Nireaha-Eketahuna,-40.65364269,175.79396455,Nireaha-Eketahuna,-40.65364269,175.79396455,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,1
W34644,Waitahora,Waitahora,WORK_AT_HOME,168,EDUCATION,Waitahora,-40.30073659,176.21621287,Waitahora,-40.30073659,176.21621287,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,1
W34646,Owhanga,Owhanga,WORK_AT_HOME,228,EDUCATION,Owhanga,-40.51321329,176.31039241,Owhanga,-40.51321329,176.31039241,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,1
W34647,Kaitawa,Kaitawa,WORK_AT_HOME,162,EDUCATION,Kaitawa,-40.47250224,175.97682513,Kaitawa,-40.47250224,175.97682513,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,1
W39201,Kopuaranga,Kopuaranga,WORK_AT_HOME,165,EDUCATION,Kopuaranga,-40.79823344,175.63791121,Kopuaranga,-40.79823344,175.63791121,0.0,Masterton,Masterton,Wellington,Wellington,1
W39225,Whareama,Whareama,WORK_AT_HOME,345,EDUCATION,Whareama,-40.91901694,175.98994746,Whareama,-40.91901694,175.98994746,0.0,Masterton,Masterton,Wellington,Wellington,1
W39354,Mount Holdsworth,Mount Holdsworth,WORK_AT_HOME,222,EDUCATION,Mount Holdsworth,-40.91709663,175.45136445,Mount Holdsworth,-40.91709663,175.45136445,0.0,Carterton,Carterton,Wellington,Wellington,1
W39442,Martinborough,Martinborough,WORK_AT_HOME,168,EDUCATION,Martinborough,-41.21981971,175.45862537,Martinborough,-41.21981971,175.45862537,0.0,South Wairarapa,South Wairarapa,Wellington,Wellington,1
W39451,Gladstone (Carterton District),Gladstone (Carterton District),WORK_AT_HOME,189,EDUCATION,Gladstone (Carterton District),-41.21809101,175.86448451,Gladstone (Carterton District),-41.21809101,175.86448451,0.0,Carterton,Carterton,Wellington,Wellington,1
W39457,Aorangi Forest,Aorangi Forest,WORK_AT_HOME,345,EDUCATION,Aorangi Forest,-41.37490301,175.45793738,Aorangi Forest,-41.37490301,175.45793738,0.0,South Wairarapa,South Wairarapa,Wellington,Wellington,1
W39464,Islands Bay of Plenty Region,Islands Bay of Plenty Region,WORK_AT_HOME,9,EDUCATION,Islands Bay of Plenty Region,-37.28628524,176.25514243,Islands Bay of Plenty Region,-37.28628524,176.25514243,0.0,Western Bay of Plenty,Western Bay of Plenty,Bay of Plenty,Bay of Plenty,1
W39465,Golden Bay/Mohua,Golden Bay/Mohua,WORK_AT_HOME,417,EDUCATION,Golden Bay/Mohua,-40.86935481,172.57195655,Golden Bay/Mohua,-40.86935481,172.57195655,0.0,Tasman,Tasman,Nelson,Nelson,1
W39473,Pohara-Abel Tasman,Pohara-Abel Tasman,WORK_AT_HOME,216,EDUCATION,Pohara-Abel Tasman,-40.89750912,172.92321196,Pohara-Abel Tasman,-40.89750912,172.92321196,0.0,Tasman,Tasman,Nelson,Nelson,2
W40309,Aldinga,Aldinga,WORK_AT_HOME,138,EDUCATION,Aldinga,-41.31388017,173.22157736,Aldinga,-41.31388017,173.22157736,0.0,Nelson,Nelson,Nelson,Nelson,40
W39634,Motueka North,Motueka North,WORK_AT_HOME,102,EDUCATION,Motueka North,-41.105891899999996,173.01318855,Motueka North,-41.105891899999996,173.01318855,0.0,Tasman,Tasman,Nelson,Nelson,6
W39622,Upper Moutere,Upper Moutere,WORK_AT_HOME,324,EDUCATION,Upper Moutere,-41.24935169,172.85150896,Upper Moutere,-41.24935169,172.85150896,0.0,Tasman,Tasman,Nelson,Nelson,1
W39851,Golden Downs,Golden Downs,WORK_AT_HOME,312,EDUCATION,Golden Downs,-41.50890922,172.78826525,Golden Downs,-41.50890922,172.78826525,0.0,Tasman,Tasman,Nelson,Nelson,1
