SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Matua North,Tauranga Hospital,DRIVE_OWN_VEHICLE,6,EDUCATION,Matua North,-37.66586707,176.12333377,Tauranga Hospital,-37.70320853,176.14700706,4.6454682851817575,Western Bay of Plenty,Western Bay of Plenty
Dannevirke East,Turitea,DRIVE_OWN_VEHICLE,6,EDUCATION,Dannevirke East,-40.21019552,176.10213546,Turitea,-40.39053678,175.60862529,46.407872191252956,Tararua,Palmerston North
Woolston East,Christchurch Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Woolston East,-43.54874136,172.68689845,Christchurch Central,-43.53243368,172.63601635,4.484274301397242,Christchurch,Christchurch
Gore North,Gore West,DRIVE_OWN_VEHICLE,12,EDUCATION,Gore North,-46.09161463,168.93868798,Gore West,-46.10626401,168.92356176,2.0034172825825576,Gore,Gore
Mairehau South,Ilam University,DRIVE_OWN_VEHICLE,42,EDUCATION,Mairehau South,-43.50208583,172.64539115,Ilam University,-43.52336127,172.57826459,5.907522461690951,Christchurch,Christchurch
Bell Block West,Bell Block West,DRIVE_OWN_VEHICLE,24,EDUCATION,Bell Block West,-39.02995252,174.13758616,Bell Block West,-39.02995252,174.13758616,0.0,New Plymouth,New Plymouth
Brookfield East,Brookfield East,DRIVE_OWN_VEHICLE,15,EDUCATION,Brookfield East,-37.68730456,176.14143485,Brookfield East,-37.68730456,176.14143485,0.0,Western Bay of Plenty,Western Bay of Plenty
Brighton,Campus South,DRIVE_OWN_VEHICLE,12,EDUCATION,Brighton,-45.93395134,170.37425787,Campus South,-45.86793792,170.51211679,12.949082840524053,Dunedin,Dunedin
Riverlea,Hillcrest West (Hamilton City),DRIVE_OWN_VEHICLE,54,EDUCATION,Riverlea,-37.80516292,175.32490337,Hillcrest West (Hamilton City),-37.79546663,175.31326581,1.485915840673777,Hamilton,Hamilton
Awapuni South ,Linton Camp,DRIVE_OWN_VEHICLE,21,EDUCATION,Awapuni South,-40.37784493,175.59343472,Linton Camp,-40.40509247,175.58721079,3.0752976113106465,Palmerston North,Palmerston North
Tamahere South,Hautapu,DRIVE_OWN_VEHICLE,6,EDUCATION,Tamahere South,-37.84740377,175.38978183,Hautapu,-37.87894521,175.44370869,5.8916703524600385,Waikato,Waipa
Bader,Hamilton West,DRIVE_OWN_VEHICLE,9,EDUCATION,Bader,-37.80931055,175.2924365,Hamilton West,-37.80074182,175.2844169,1.1850050149550444,Hamilton,Hamilton
Wairakei-Broadlands,Tihiotonga-Whakarewarewa,DRIVE_OWN_VEHICLE,6,EDUCATION,Wairakei-Broadlands,-38.68443198,176.26217734,Tihiotonga-Whakarewarewa,-38.16412016,176.25173097,57.86319093583663,Taupo,Rotorua
Resthill,Hillcrest West (Hamilton City),DRIVE_OWN_VEHICLE,27,EDUCATION,Resthill,-37.82572526,175.28737408,Hillcrest West (Hamilton City),-37.79546663,175.31326581,4.0613008691927,Hamilton,Hamilton
Bethlehem North,Greerton South,DRIVE_OWN_VEHICLE,9,EDUCATION,Bethlehem North,-37.69058759,176.10753065,Greerton South,-37.72765679,176.12518714,4.4048419670959005,Western Bay of Plenty,Western Bay of Plenty
Welcome Bay East,Greerton South,DRIVE_OWN_VEHICLE,6,EDUCATION,Welcome Bay East,-37.72030061,176.20928394,Greerton South,-37.72765679,176.12518714,7.441537947962588,Western Bay of Plenty,Western Bay of Plenty
Dinsdale South,Hamilton Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Dinsdale South,-37.79839009,175.23931456,Hamilton Central,-37.78938082,175.28203067,3.884789427910373,Hamilton,Hamilton
Clendon Park East,Otara Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Clendon Park East,-37.03230003,174.8651409,Otara Central,-36.95593456,174.87677994,8.554136804463782,Franklin,Manukau
Saint Heliers South,Otara Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Saint Heliers South,-36.86395106,174.85633024,Otara Central,-36.95593456,174.87677994,10.388442313282825,Waitakere,Manukau
Oxford,Christchurch Central-South,DRIVE_OWN_VEHICLE,9,EDUCATION,Oxford,-43.2987357,172.18309394,Christchurch Central-South,-43.53815861,172.64240289,45.66107966504564,Waimakariri,Christchurch
Avondale West (Auckland),Mount Albert West,DRIVE_OWN_VEHICLE,12,EDUCATION,Avondale West (Auckland),-36.89467964,174.6846386,Mount Albert West,-36.88204623,174.70769409,2.4854843740118007,Waitakere,Waitakere
Turanga,Otara Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Turanga,-36.96408816,174.98854671,Otara Central,-36.95593456,174.87677994,9.971878675459688,Manukau,Manukau
Tikipunga South,Tarewa,DRIVE_OWN_VEHICLE,33,EDUCATION,Tikipunga South,-35.69457731,174.33166497,Tarewa,-35.7418305,174.30903757,5.637443291436268,Whangarei,Whangarei
Beach Haven West,Albany West,DRIVE_OWN_VEHICLE,6,EDUCATION,Beach Haven West,-36.79327636,174.68619139,Albany West,-36.7414674,174.68787988,5.762856489670623,Waitakere,Waitakere
Glen Eden North,Mount Albert West,DRIVE_OWN_VEHICLE,6,EDUCATION,Glen Eden North,-36.90768225,174.6570296,Mount Albert West,-36.88204623,174.70769409,5.3314940315439845,Waitakere,Waitakere
Stanmore Bay West,Albany Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Stanmore Bay West,-36.62300197,174.72724226,Albany Central,-36.72820186,174.70483518,11.86715001827739,Rodney,Waitakere
Papanui East,Ilam University,DRIVE_OWN_VEHICLE,27,EDUCATION,Papanui East,-43.49804758,172.61506457,Ilam University,-43.52336127,172.57826459,4.09023117354264,Christchurch,Christchurch
Melrose,Mount Cook East,DRIVE_OWN_VEHICLE,9,EDUCATION,Melrose,-41.32428747,174.78913074,Mount Cook East,-41.30251481,174.77750144,2.608574343159024,Wellington,Wellington
Murrays Bay East,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Murrays Bay East,-36.73103029999999,174.75161954,Queen Street,-36.84774104,174.76524972,13.034278404117172,Waitakere,Waitakere
Baverstock,Botany South,DRIVE_OWN_VEHICLE,6,EDUCATION,Baverstock,-36.95525862,174.91670173,Botany South,-36.9385812,174.91414624,1.8682979561068944,Manukau,Manukau
Marchwiel East,Timaru Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Marchwiel East,-44.37704716,171.23534538,Timaru Central,-44.39838399,171.2514175,2.694446153208422,Timaru,Timaru
Addington East,Christchurch Central-South,DRIVE_OWN_VEHICLE,42,EDUCATION,Addington East,-43.5451456,172.62305787,Christchurch Central-South,-43.53815861,172.64240289,1.742088024120736,Christchurch,Christchurch
Halswell North,Christchurch Central-South,DRIVE_OWN_VEHICLE,24,EDUCATION,Halswell North,-43.57394904,172.5780119,Christchurch Central-South,-43.53815861,172.64240289,6.539264815797039,Christchurch,Christchurch
Alfriston,Auckland-University,DRIVE_OWN_VEHICLE,30,EDUCATION,Alfriston,-37.01247699,174.92080195,Auckland-University,-36.85143057,174.76906469,22.41824807854121,Franklin,Waitakere
Sunnyhills West-Pakuranga North,Epsom Central-North,DRIVE_OWN_VEHICLE,6,EDUCATION,Sunnyhills West-Pakuranga North,-36.9085095,174.87269402,Epsom Central-North,-36.88779009,174.76992615,9.424374195191694,Manukau,Waitakere
Takanini South,Auckland-University,DRIVE_OWN_VEHICLE,24,EDUCATION,Takanini South,-37.04157360000001,174.93888309,Auckland-University,-36.85143057,174.76906469,25.97628616292119,Franklin,Waitakere
Enderley South,Hamilton Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Enderley South,-37.77006022,175.29653861,Hamilton Central,-37.78938082,175.28203067,2.4982262365804417,Hamilton,Hamilton
Rototuna Central,Hamilton East Village,DRIVE_OWN_VEHICLE,12,EDUCATION,Rototuna Central,-37.72662295,175.26539165,Hamilton East Village,-37.79028168,175.29324653,7.490118921589079,Hamilton,Hamilton
Balcairn,Ilam University,DRIVE_OWN_VEHICLE,6,EDUCATION,Balcairn,-43.13161687,172.78405755,Ilam University,-43.52336127,172.57826459,46.63222317258112,Hurunui,Christchurch
Saint Heliers South,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Saint Heliers South,-36.86395106,174.85633024,Queen Street,-36.84774104,174.76524972,8.301682705676889,Waitakere,Waitakere
Mission Heights North,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,Mission Heights North,-36.95819159,174.93091114,Queen Street,-36.84774104,174.76524972,19.178487744808127,Manukau,Waitakere
Awarua Plains,Invercargill Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Awarua Plains,-46.48269183,168.60409879,Invercargill Central,-46.41489239,168.32850731,22.419598800217344,Southland,Invercargill
Gate Pa,Greerton South,DRIVE_OWN_VEHICLE,21,EDUCATION,Gate Pa,-37.71588753,176.13556748,Greerton South,-37.72765679,176.12518714,1.5956840156020025,Western Bay of Plenty,Western Bay of Plenty
Fairview Downs,Hamilton Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Fairview Downs,-37.76127248,175.30316917,Hamilton Central,-37.78938082,175.28203067,3.635997636732244,Hamilton,Hamilton
Tahuroa,Hamilton West,DRIVE_OWN_VEHICLE,6,EDUCATION,Tahuroa,-37.69903344,175.52480796,Hamilton West,-37.80074182,175.2844169,23.97096769031616,Matamata-Piako,Hamilton
Homedale East,Petone East,DRIVE_OWN_VEHICLE,9,EDUCATION,Homedale East,-41.2691306,174.95843259,Petone East,-41.2248184,174.89062655,7.510966838188046,Hutt city,Hutt city
Flagstaff South,Auckland-University,DRIVE_OWN_VEHICLE,6,EDUCATION,Flagstaff South,-37.729433,175.23989195,Auckland-University,-36.85143057,174.76906469,106.14249241822662,Hamilton,Waitakere
Waimea West,Templemore,DRIVE_OWN_VEHICLE,6,EDUCATION,Waimea West,-41.32976373,173.08124813,Templemore,-41.34152248,173.20418736,10.34727249984945,Tasman,Tasman
Matamata South,Hamilton Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Matamata South,-37.81753128,175.77119821,Hamilton Central,-37.78938082,175.28203067,43.09064170054281,Matamata-Piako,Hamilton
Mount Cook West,Pipitea-Kaiwharawhara,DRIVE_OWN_VEHICLE,9,EDUCATION,Mount Cook West,-41.30328333,174.77184245,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,3.286067200933537,Wellington,Wellington
East Tamaki Heights,Otara Central,DRIVE_OWN_VEHICLE,18,EDUCATION,East Tamaki Heights,-36.9417869,174.92247188,Otara Central,-36.95593456,174.87677994,4.3544636289106045,Manukau,Manukau
Sunnyhills West-Pakuranga North,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Sunnyhills West-Pakuranga North,-36.9085095,174.87269402,Queen Street,-36.84774104,174.76524972,11.704315467057071,Manukau,Waitakere
Waitangirua,Petone East,DRIVE_OWN_VEHICLE,9,EDUCATION,Waitangirua,-41.12984631,174.87999879,Petone East,-41.2248184,174.89062655,10.597807504033797,Porirua,Hutt city
Makaraka-Awapuni,Gisborne Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Makaraka-Awapuni,-38.65787303,177.97255068,Gisborne Central,-38.66778237,178.02299313,4.516146617370416,Gisborne,Gisborne
Glen Eden Central,Auckland-University,DRIVE_OWN_VEHICLE,12,EDUCATION,Glen Eden Central,-36.91560255,174.65302059,Auckland-University,-36.85143057,174.76906469,12.547477004340475,Waitakere,Waitakere
Papakura North,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,Papakura North,-37.05741406,174.94794613,Queen Street,-36.84774104,174.76524972,28.409890803280987,Franklin,Waitakere
Sunnynook North,Auckland-University,DRIVE_OWN_VEHICLE,9,EDUCATION,Sunnynook North,-36.75086862,174.74169364,Auckland-University,-36.85143057,174.76906469,11.444459140486181,Waitakere,Waitakere
Awapuni South ,Turitea,DRIVE_OWN_VEHICLE,48,EDUCATION,Awapuni South,-40.37784493,175.59343472,Turitea,-40.39053678,175.60862529,1.9097358030739484,Palmerston North,Palmerston North
Tamahere North,Hillcrest West (Hamilton City),DRIVE_OWN_VEHICLE,72,EDUCATION,Tamahere North,-37.8125973,175.35271026,Hillcrest West (Hamilton City),-37.79546663,175.31326581,3.954461163183748,Waikato,Hamilton
Green Island,Dunedin Central,DRIVE_OWN_VEHICLE,24,EDUCATION,Green Island,-45.90709712,170.43736925,Dunedin Central,-45.87712471,170.50291221,6.069458360297128,Dunedin,Dunedin
Hurdon,New Plymouth Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Hurdon,-39.09534718,174.05059554,New Plymouth Central,-39.05700192,174.07537454,4.770234378406955,New Plymouth,New Plymouth
Pokeno Rural,Auckland-University,DRIVE_OWN_VEHICLE,6,EDUCATION,Pokeno Rural,-37.27014853,175.00483175,Auckland-University,-36.85143057,174.76906469,51.04336870868439,Franklin,Waitakere
Silverdale (Hamilton City),Hamilton Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Silverdale (Hamilton City),-37.79128988,175.32912389,Hamilton Central,-37.78938082,175.28203067,4.143650476966614,Waikato,Hamilton
Kuirau,Pomare,DRIVE_OWN_VEHICLE,6,EDUCATION,Kuirau,-38.13474084,176.24242829,Pomare,-38.15440452,176.2216546,2.8427139367301053,Rotorua,Rotorua
Waipu,Tarewa,DRIVE_OWN_VEHICLE,12,EDUCATION,Waipu,-36.03330412,174.45082085,Tarewa,-35.7418305,174.30903757,34.836421922852594,Whangarei,Whangarei
