SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Henderson Valley,Henderson Valley,PASSENGER_IN_VEHICLE,57,EDUCATION,Henderson Valley,-36.90641583,174.56917384,Henderson Valley,-36.90641583,174.56917384,0.0,Waitakere,Waitakere
Riccarton West,Riccarton South,PASSENGER_IN_VEHICLE,18,EDUCATION,Riccarton West,-43.53414393,172.59138797,Riccarton South,-43.53444076,172.60196831,0.8535420831297832,Christchurch,Christchurch
Beach Haven West,Birkenhead South,PASSENGER_IN_VEHICLE,12,EDUCATION,Beach Haven West,-36.79327636,174.68619139,Birkenhead South,-36.81601936,174.73031198,4.671791556132135,Waitakere,Waitakere
Cornwall Park,Camberley,PASSENGER_IN_VEHICLE,9,EDUCATION,Cornwall Park,-39.63081696,176.84243026,Camberley,-39.63000463,176.82581524,1.4257666572657093,Hastings city,Hastings city
Fairfield (Dunedin City),Abbotsford,PASSENGER_IN_VEHICLE,9,EDUCATION,Fairfield (Dunedin City),-45.90161406,170.40079741,Abbotsford,-45.89815819,170.42263162,1.7327262395249794,Dunedin,Dunedin
Otaki Beach,Waitohu,PASSENGER_IN_VEHICLE,18,EDUCATION,Otaki Beach,-40.75542681,175.11598727,Waitohu,-40.75979827,175.1672598,4.3458391104557546,Kapiti Coast,Kapiti Coast
Mount Wellington Central,Meadowbank West,PASSENGER_IN_VEHICLE,9,EDUCATION,Mount Wellington Central,-36.90833619,174.84460805,Meadowbank West,-36.86956185,174.8257466,4.626321812270959,Waitakere,Waitakere
Taumarunui Central,Taumarunui North,PASSENGER_IN_VEHICLE,15,EDUCATION,Taumarunui Central,-38.88792031,175.26436605,Taumarunui North,-38.86254762,175.24467641,3.296215120331207,Ruapehu,Ruapehu
Kopurererua,Bethlehem Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Kopurererua,-37.77550916,176.10390836,Bethlehem Central,-37.7065879,176.11498118,7.7252962242123475,Western Bay of Plenty,Western Bay of Plenty
Roslyn (Dunedin City),Royal Terrace,PASSENGER_IN_VEHICLE,9,EDUCATION,Roslyn (Dunedin City),-45.86711907,170.4917572,Royal Terrace,-45.86668004,170.50466615,1.0007068145655833,Dunedin,Dunedin
Quail Rise,Frankton,PASSENGER_IN_VEHICLE,27,EDUCATION,Quail Rise,-44.99478952,168.74876096,Frankton,-45.01825697,168.74585281,2.619458219549148,Queenstown-Lakes,Queenstown-Lakes
Ferguson,Rongomai West,PASSENGER_IN_VEHICLE,21,EDUCATION,Ferguson,-36.966167,174.88252157,Rongomai West,-36.97393225,174.88932555,1.0540061201714317,Manukau,Manukau
Thames North,Thames North,PASSENGER_IN_VEHICLE,33,EDUCATION,Thames North,-37.13153868,175.54591871,Thames North,-37.13153868,175.54591871,0.0,Thames-Coromandel,Thames-Coromandel
Longwood Forest,Riverton,PASSENGER_IN_VEHICLE,18,EDUCATION,Longwood Forest,-46.01707924,167.67301087,Riverton,-46.37009983,168.01257180000005,47.159267343561964,Southland,Southland
Macandrew Bay-Company Bay,Andersons Bay,PASSENGER_IN_VEHICLE,15,EDUCATION,Macandrew Bay-Company Bay,-45.87172339,170.59414405,Andersons Bay,-45.8982685,170.53683509,5.328174222065204,Dunedin,Dunedin
Cornwall Park,Mayfair,PASSENGER_IN_VEHICLE,27,EDUCATION,Cornwall Park,-39.63081696,176.84243026,Mayfair,-39.64014808,176.86339942,2.0738716358014653,Hastings city,Hastings city
Leamington West,Cambridge Central,PASSENGER_IN_VEHICLE,27,EDUCATION,Leamington West,-37.90325801,175.47086094,Cambridge Central,-37.89316701,175.47159053,1.1238927120073483,Waipa,Waipa
Wingatui,Seddon Park,PASSENGER_IN_VEHICLE,21,EDUCATION,Wingatui,-45.86700748,170.38627764,Seddon Park,-45.87666031,170.35643822,2.5473740404016314,Dunedin,Dunedin
Mount Wellington Central,Pakuranga West,PASSENGER_IN_VEHICLE,15,EDUCATION,Mount Wellington Central,-36.90833619,174.84460805,Pakuranga West,-36.91819021,174.86882676,2.4159380191698965,Waitakere,Manukau
