SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Papakura Kelvin,Rosehill,PUBLIC_BUS,9,EDUCATION,Papakura Kelvin,-37.05933436,174.96239449,Rosehill,-37.0807433,174.93811005,3.2108059524144013,Franklin,Franklin
Ponsonby East,Queen Street,PUBLIC_BUS,6,EDUCATION,Ponsonby East,-36.85137951,174.74159318,Queen Street,-36.84774104,174.76524972,2.143478116215756,Waitakere,Waitakere
Alicetown-Melling,Hutt Central South,PUBLIC_BUS,9,EDUCATION,Alicetown-Melling,-41.21402786,174.89365185,Hutt Central South,-41.21349159,174.90936129,1.315401844061565,Hutt city,Hutt city
Gulf Harbour North,Auckland-University,PUBLIC_BUS,18,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Auckland-University,-36.85143057,174.76906469,26.99446198050268,Rodney,Waitakere
Dairy Flat North,Takapuna West,PUBLIC_BUS,6,EDUCATION,Dairy Flat North,-36.6446947,174.65374224,Takapuna West,-36.78910918,174.76117008,18.696350158336784,Rodney,Waitakere
Birchville-Brown Owl,Brentwood (Upper Hutt City),PUBLIC_BUS,18,EDUCATION,Birchville-Brown Owl,-41.08596013,175.11315290000005,Brentwood (Upper Hutt City),-41.12890914,175.03679072,7.98372564260301,Upper Hutt,Upper Hutt
New Lynn South,Lynfield North,PUBLIC_BUS,15,EDUCATION,New Lynn South,-36.92110202,174.68283768,Lynfield North,-36.91952771,174.71763043,3.0979279196358065,Waitakere,Waitakere
Avondale South (Auckland),Lynfield North,PUBLIC_BUS,6,EDUCATION,Avondale South (Auckland),-36.90336613,174.69745753,Lynfield North,-36.91952771,174.71763043,2.5389448901004963,Waitakere,Waitakere
Totara Vale North,Windsor Park,PUBLIC_BUS,12,EDUCATION,Totara Vale North,-36.75965827,174.73009473,Windsor Park,-36.73975221,174.73568351,2.26876931037388,Waitakere,Waitakere
Mount Wellington East,Penrose,PUBLIC_BUS,12,EDUCATION,Mount Wellington East,-36.90148701,174.83884542,Penrose,-36.91999811,174.82258914,2.515096944272848,Waitakere,Waitakere
Avonhead West,Ilam University,PUBLIC_BUS,9,EDUCATION,Avonhead West,-43.51339363,172.55038452,Ilam University,-43.52336127,172.57826459,2.506439061296679,Christchurch,Christchurch
Stokes Valley Central,Taita South,PUBLIC_BUS,6,EDUCATION,Stokes Valley Central,-41.16891621,174.97736126,Taita South,-41.18492338,174.95918534,2.341411910742268,Hutt city,Hutt city
