SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Eltham,Kaponga-Mangatoki,SCHOOL_BUS,6,EDUCATION,Eltham,-39.4310866,174.29903566,Kaponga-Mangatoki,-39.43452513,174.22980453,5.95810120661429,South Taranaki,South Taranaki
Tamatea East,Bluff Hill,SCHOOL_BUS,15,EDUCATION,Tamatea East,-39.51596053,176.86916874,Bluff Hill,-39.48081517,176.91538913,5.567782556477078,Hastings,Napier
Waipukurau West,Makaretu,SCHOOL_BUS,6,EDUCATION,Waipukurau West,-39.99738364,176.54048302,Makaretu,-39.94160872,176.31273142,20.375401871315372,Central Hawke's Bay,Central Hawke's Bay
Waitaha,Waitaha,SCHOOL_BUS,6,EDUCATION,Waitaha,-43.09058185,170.78199705,Waitaha,-43.09058185,170.78199705,0.0,Westland,Westland
Maungaru,Pukenui,SCHOOL_BUS,6,EDUCATION,Maungaru,-35.87696287,173.97089153,Pukenui,-35.74644668,174.25502298,29.44574159020115,Kaipara,Whangarei
Greenhithe East,Albany Central,SCHOOL_BUS,30,EDUCATION,Greenhithe East,-36.7641032,174.68932537,Albany Central,-36.72820186,174.70483518,4.224469755637559,Waitakere,Waitakere
Raetihi,Tangiwai,SCHOOL_BUS,9,EDUCATION,Raetihi,-39.42926305,175.27603962,Tangiwai,-39.36236325,175.16766499,11.918933928166703,Ruapehu,Ruapehu
Glenroy-Hororata,Darfield,SCHOOL_BUS,78,EDUCATION,Glenroy-Hororata,-43.48288665,171.78713574,Darfield,-43.49796117,172.09991696,25.28789287769031,Selwyn,Selwyn
Makikihi-Willowbridge,Parkside,SCHOOL_BUS,6,EDUCATION,Makikihi-Willowbridge,-44.68813769,171.05113933,Parkside,-44.40469035,171.24632921,35.108973097522146,Waimate,Timaru
Te Awamutu West,Sherwin Park,SCHOOL_BUS,9,EDUCATION,Te Awamutu West,-38.00845928,175.30468954,Sherwin Park,-38.01763951,175.33600784,2.9274493539067943,Waipa,Waipa
Moutere Hills,Grampians,SCHOOL_BUS,9,EDUCATION,Moutere Hills,-41.26413088,173.0336074,Grampians,-41.29660057,173.27351504,20.369657780436405,Tasman,Nelson
Pukekawa,Onewhero,SCHOOL_BUS,72,EDUCATION,Pukekawa,-37.35591115,175.00526866,Onewhero,-37.36416985,174.87549359,11.506477664304262,Franklin,Franklin
Riversdale-Piano Flat,Gore Main,SCHOOL_BUS,12,EDUCATION,Riversdale-Piano Flat,-45.48645863,169.03162811,Gore Main,-46.10427676,168.9374566,69.08508774502185,Southland,Gore
Lansdowne East,Opaki,SCHOOL_BUS,6,EDUCATION,Lansdowne East,-40.94138749,175.68119066,Opaki,-40.90223549,175.65959234,4.716571480035802,Masterton,Masterton
Oakura,Spotswood,SCHOOL_BUS,9,EDUCATION,Oakura,-39.11694914,173.95066015,Spotswood,-39.07096507,174.02427884,8.155300084688372,New Plymouth,New Plymouth
Shannon,Miranui,SCHOOL_BUS,12,EDUCATION,Shannon,-40.54988606,175.41331329,Miranui,-40.53552154,175.48107991,5.944836645074383,Horowhenua,Horowhenua
Cockle Bay,Glendowie South,SCHOOL_BUS,9,EDUCATION,Cockle Bay,-36.89765568,174.94328238,Glendowie South,-36.8646606,174.8672379,7.694618229401046,Manukau,Waitakere
Sunnybrook,Owhata East,SCHOOL_BUS,9,EDUCATION,Sunnybrook,-38.14973623,176.20917803,Owhata East,-38.13784197,176.29814382,7.891737436833138,Rotorua,Rotorua
Newmarket,Auckland-University,SCHOOL_BUS,6,EDUCATION,Newmarket,-36.86853889,174.77706299,Auckland-University,-36.85143057,174.76906469,2.0310898024325565,Waitakere,Waitakere
Torlesse,Torlesse,SCHOOL_BUS,24,EDUCATION,Torlesse,-43.34568833,171.90320308,Torlesse,-43.34568833,171.90320308,0.0,Selwyn,Selwyn
Waitikiri,Richmond North (Christchurch City),SCHOOL_BUS,12,EDUCATION,Waitikiri,-43.46773853,172.6744824,Richmond North (Christchurch City),-43.51297088,172.65862627,5.189713015214812,Christchurch,Christchurch
Tokorangi,Kimbolton North,SCHOOL_BUS,51,EDUCATION,Tokorangi,-40.12383342,175.549708,Kimbolton North,-40.2074565,175.58214784,9.698442820101882,Manawatu,Manawatu
Glen Eden Rosier,Kaurilands,SCHOOL_BUS,6,EDUCATION,Glen Eden Rosier,-36.91539926,174.63643274,Kaurilands,-36.92947622,174.65583671,2.329257040133081,Waitakere,Waitakere
Tauranga Central,Pyes Pa South,SCHOOL_BUS,6,EDUCATION,Tauranga Central,-37.67947411,176.16704264,Pyes Pa South,-37.74928473,176.12244347,8.697601411055295,,Western Bay of Plenty
Miranui,Miranui,SCHOOL_BUS,69,EDUCATION,Miranui,-40.53552154,175.48107991,Miranui,-40.53552154,175.48107991,0.0,Horowhenua,Horowhenua
Greenhithe West,Forrest Hill West,SCHOOL_BUS,24,EDUCATION,Greenhithe West,-36.77353411,174.67354745,Forrest Hill West,-36.76895837,174.7451352,6.3966370377577135,Waitakere,Waitakere
Starvation Hill-Cust,Oxford,SCHOOL_BUS,18,EDUCATION,Starvation Hill-Cust,-43.29262485,172.36275322,Oxford,-43.2987357,172.18309394,14.555761182809222,Waimakariri,Waimakariri
Makaretu,Makaretu,SCHOOL_BUS,90,EDUCATION,Makaretu,-39.94160872,176.31273142,Makaretu,-39.94160872,176.31273142,0.0,Central Hawke's Bay,Central Hawke's Bay
Kumeu-Huapai,Windsor Park,SCHOOL_BUS,12,EDUCATION,Kumeu-Huapai,-36.76998293,174.54286666,Windsor Park,-36.73975221,174.73568351,17.503803830837537,Rodney,Waitakere
Pyes Pa North,Bethlehem Central,SCHOOL_BUS,24,EDUCATION,Pyes Pa North,-37.74119093,176.12802796,Bethlehem Central,-37.7065879,176.11498118,4.015143412585064,Western Bay of Plenty,Western Bay of Plenty
Strath Taieri,Seddon Park,SCHOOL_BUS,18,EDUCATION,Strath Taieri,-45.63286905,170.1227055,Seddon Park,-45.87666031,170.35643822,32.61442297929133,Dunedin,Dunedin
Pine Hill-Dalmore,Gardens (Dunedin City),SCHOOL_BUS,15,EDUCATION,Pine Hill-Dalmore,-45.84825689,170.51388061,Gardens (Dunedin City),-45.85877849,170.51916854,1.2395550665965498,Dunedin,Dunedin
Paeroa Rural,Ngatea,SCHOOL_BUS,30,EDUCATION,Paeroa Rural,-37.39345524,175.57864603,Ngatea,-37.27899729,175.4915105,14.877041655620095,Hauraki,Hauraki
Maitai,Victory,SCHOOL_BUS,12,EDUCATION,Maitai,-41.27666765,173.2982542,Victory,-41.28580137,173.26988584,2.57889095308265,Nelson,Nelson
Bay View,Westshore,SCHOOL_BUS,9,EDUCATION,Bay View,-39.44155622,176.85839471,Westshore,-39.4746211,176.88117125,4.164301465460714,Napier,Napier
Pine Hill-Dalmore,Campus South,SCHOOL_BUS,21,EDUCATION,Pine Hill-Dalmore,-45.84825689,170.51388061,Campus South,-45.86793792,170.51211679,2.192689200261846,Dunedin,Dunedin
