SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Otumoetai South,Bellevue,OTHER,6,EDUCATION,Otumoetai South,-37.67691846,176.14437130000005,Bellevue,-37.67938337,176.1292392,1.3596278653266298,Western Bay of Plenty,Western Bay of Plenty
Papatoetoe Central,Papatoetoe Central,OTHER,6,EDUCATION,Papatoetoe Central,-36.97461746,174.85800659,Papatoetoe Central,-36.97461746,174.85800659,0.0,Manukau,Manukau
Holmwood,Strowan,OTHER,9,EDUCATION,Holmwood,-43.519344,172.6084094,Strowan,-43.50761954,172.60874654,1.3039839127518702,Christchurch,Christchurch
Riccarton South,Ilam University,OTHER,12,EDUCATION,Riccarton South,-43.53444076,172.60196831,Ilam University,-43.52336127,172.57826459,2.2736796874073404,Christchurch,Christchurch
Rolleston Central,Rolleston South West,OTHER,12,EDUCATION,Rolleston Central,-43.60049642,172.37569815,Rolleston South West,-43.6149097,172.37458523,1.6051865677503898,Selwyn,Selwyn
Whangamata,Whangamata,OTHER,9,EDUCATION,Whangamata,-37.21349281,175.86658897,Whangamata,-37.21349281,175.86658897,0.0,Thames-Coromandel,Thames-Coromandel
Judea,Bellevue,OTHER,9,EDUCATION,Judea,-37.69516132,176.14345446,Bellevue,-37.67938337,176.1292392,2.1546932504509453,Western Bay of Plenty,Western Bay of Plenty
Rolleston North West,Springston,OTHER,9,EDUCATION,Rolleston North West,-43.60086348,172.36340669999996,Springston,-43.65558055,172.37556591,6.1624658850726926,Selwyn,Selwyn
Island Bay East,Newtown West,OTHER,12,EDUCATION,Island Bay East,-41.33666605,174.77592354,Newtown West,-41.31289315,174.77608237,2.6434591444999773,Wellington,Wellington
Bush Road,Seddon Park,OTHER,6,EDUCATION,Bush Road,-45.87310687,170.33831545,Seddon Park,-45.87666031,170.35643822,1.4575871203550381,Dunedin,Dunedin
Otahuhu South,Otahuhu South,OTHER,6,EDUCATION,Otahuhu South,-36.94719396,174.84996655,Otahuhu South,-36.94719396,174.84996655,0.0,Manukau,Manukau
Ilam University,Ilam University,OTHER,18,EDUCATION,Ilam University,-43.52336127,172.57826459,Ilam University,-43.52336127,172.57826459,0.0,Christchurch,Christchurch
Seatoun,Wellington University,OTHER,6,EDUCATION,Seatoun,-41.32569332,174.83335901,Wellington University,-41.289084,174.7676253,6.8350133318092,Wellington,Wellington
