SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Te Hapara North,Te Hapara East,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Te Hapara North,-38.65019278,178.00054269,Te Hapara East,-38.6560244,178.01721277,1.5861774830636821,Gisborne,Gisborne
Minden,Mount Maunganui Central,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Minden,-37.77273465,176.01540781,Mount Maunganui Central,-37.66423891,176.19448097,19.840261983531533,Western Bay of Plenty,Western Bay of Plenty
Ormiston East,East Tamaki,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Ormiston East,-36.98204749,174.93107925,East Tamaki,-36.93823242,174.88712871,6.2438640672104775,Manukau,Manukau
Newtons Road,Christchurch Airport,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Newtons Road,-43.56941172,172.31944743,Christchurch Airport,-43.48221523,172.54383636,20.525421776353394,Selwyn,Christchurch
Heretaunga,Poets Block,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Heretaunga,-41.13877359,175.01905143,Poets Block,-41.12290419,175.04604601,2.8679915048649107,Upper Hutt,Upper Hutt
Mount Albert North,North Harbour,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Mount Albert North,-36.87481471,174.71765308,North Harbour,-36.74630474,174.71502975,14.29156499505431,Waitakere,Waitakere
Massey East,North Harbour,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Massey East,-36.84348264,174.62057134,North Harbour,-36.74630474,174.71502975,13.693274401319115,Waitakere,Waitakere
Glenfield South West,Glenfield South West,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Glenfield South West,-36.78941699,174.71290056,Glenfield South West,-36.78941699,174.71290056,0.0,Waitakere,Waitakere
Netherby,Allenton South,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Netherby,-43.90025621,171.76581085,Allenton South,-43.89054116,171.73232663,2.8923267232843224,Ashburton,Ashburton
Queenspark,Russley,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Queenspark,-43.47537667,172.69715881,Russley,-43.49336565,172.55854726,11.36050048650789,Christchurch,Christchurch
Springfield South,Ngapuna,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Springfield South,-38.16331896,176.22771944,Ngapuna,-38.14682269,176.27047436,4.164141428417138,Rotorua,Rotorua
