SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Narrow Neck,Hobson Ridge North,FERRY,30,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Hobson Ridge North,-36.84707104,174.76276914,4.609199376150441,Waitakere,Waitakere
Northcote Point (Auckland),Quay Street-Customs Street,FERRY,9,EDUCATION,Northcote Point (Auckland),-36.81611854,174.74451838,Quay Street-Customs Street,-36.84601989,174.77646293,4.374704585724417,Waitakere,Waitakere
Oneroa West,Auckland-University,FERRY,9,EDUCATION,Oneroa West,-36.78767524,174.99965402,Auckland-University,-36.85143057,174.76906469,21.715568532434105,Auckland,Waitakere
Cheltenham,Hobson Ridge North,FERRY,9,EDUCATION,Cheltenham,-36.82539766,174.80659852,Hobson Ridge North,-36.84707104,174.76276914,4.58504562094682,Waitakere,Waitakere
West Harbour Clearwater Cove,Queen Street,FERRY,12,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,Queen Street,-36.84774104,174.76524972,12.13762217692525,Waitakere,Waitakere
Birkenhead South,Quay Street-Customs Street,FERRY,30,EDUCATION,Birkenhead South,-36.81601936,174.73031198,Quay Street-Customs Street,-36.84601989,174.77646293,5.291478310675386,Waitakere,Waitakere
Bucklands Beach North,Queen Street,FERRY,9,EDUCATION,Bucklands Beach North,-36.86068628,174.9037907,Queen Street,-36.84774104,174.76524972,12.41033340291852,,Waitakere
Maraetai,Hobson Ridge North,FERRY,6,EDUCATION,Maraetai,-36.88774867,175.03797111,Hobson Ridge North,-36.84707104,174.76276914,24.895972203965698,Manukau,Waitakere
Devonport,Devonport,FERRY,6,EDUCATION,Devonport,-36.82716648,174.79688282,Devonport,-36.82716648,174.79688282,0.0,Waitakere,Waitakere
Surfdale,Victoria Park ,FERRY,12,EDUCATION,Surfdale,-36.79613493,175.02985004,Victoria Park,-36.84857807,174.75659124,25.012369876698642,Auckland,Waitakere
Half Moon Bay West,Quay Street-Customs Street,FERRY,15,EDUCATION,Half Moon Bay West,-36.88602382,174.89665015,Quay Street-Customs Street,-36.84601989,174.77646293,11.580314819405134,Manukau,Waitakere
Oneroa East-Palm Beach,Parnell West,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Parnell West,-36.85679261,174.77798053,25.885962132275573,Auckland,Waitakere
Cheltenham,Victoria Park ,FERRY,18,EDUCATION,Cheltenham,-36.82539766,174.80659852,Victoria Park,-36.84857807,174.75659124,5.142901744583445,Waitakere,Waitakere
Maraetai,Victoria Park ,FERRY,6,EDUCATION,Maraetai,-36.88774867,175.03797111,Victoria Park,-36.84857807,174.75659124,25.407093878763018,Manukau,Waitakere
Devonport,Queen Street,FERRY,54,EDUCATION,Devonport,-36.82716648,174.79688282,Queen Street,-36.84774104,174.76524972,3.6275362296949916,Waitakere,Waitakere
Half Moon Bay West,Queen Street,FERRY,6,EDUCATION,Half Moon Bay West,-36.88602382,174.89665015,Queen Street,-36.84774104,174.76524972,12.44028613491436,Manukau,Waitakere
Narrow Neck,Victoria Park ,FERRY,12,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Victoria Park,-36.84857807,174.75659124,5.104539439654022,Waitakere,Waitakere
Hobsonville Point,Wynyard-Viaduct,FERRY,18,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Wynyard-Viaduct,-36.8433094,174.75788827,9.994389348691325,Waitakere,Waitakere
Surfdale,Wynyard-Viaduct,FERRY,15,EDUCATION,Surfdale,-36.79613493,175.02985004,Wynyard-Viaduct,-36.8433094,174.75788827,24.770278397540146,Auckland,Waitakere
Hobsonville Point,Victoria Park ,FERRY,9,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Victoria Park,-36.84857807,174.75659124,10.213093638722867,Waitakere,Waitakere
West Harbour Clearwater Cove,Shortland Street,FERRY,15,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,Shortland Street,-36.84736853,174.76823915,12.374352553312821,Waitakere,Waitakere
